date,value,Volume,Open,High,Low
9/5/2018,47.72,20798820,$47.75 ,$48.12 ,$47.47 
9/6/2018,47.26,19315070,$47.76 ,$47.96 ,$47.21 
9/7/2018,46.45,25792810,$46.91 ,$47.48 ,$46.36 
9/10/2018,46.3,21264970,$46.56 ,$46.76 ,$46.23 
9/11/2018,44.93,32438230,$46.00 ,$46.03 ,$44.89 
9/12/2018,44.93,29723230,$44.56 ,$44.98 ,$44.06 
9/13/2018,45.57,18498420,$45.68 ,$45.85 ,$45.11 
9/14/2018,45.54,22697430,$45.78 ,$45.97 ,$45.35 
9/17/2018,45.42,17242530,$45.29 ,$45.90 ,$45.19 
9/18/2018,46.1,20366080,$45.58 ,$46.53 ,$45.41 
9/19/2018,46.15,15829560,$46.09 ,$46.44 ,$45.89 
9/20/2018,47.2,21765110,$46.78 ,$47.36 ,$46.52 
9/21/2018,46.66,52262680,$47.12 ,$47.42 ,$46.37 
9/24/2018,46.91,17831910,$46.31 ,$47.00 ,$46.15 
9/25/2018,45.91,22027790,$46.22 ,$46.39 ,$45.80 
9/26/2018,45.7,23412530,$46.04 ,$46.30 ,$45.58 
9/27/2018,45.88,15287150,$45.91 ,$46.17 ,$45.73 
9/28/2018,47.29,46200440,$45.62 ,$47.75 ,$45.46 
10/1/2018,46.45,23653550,$46.79 ,$47.22 ,$46.20 
10/2/2018,48.1,40746390,$47.51 ,$48.88 ,$47.32 
10/3/2018,48.76,38872430,$48.62 ,$49.72 ,$48.56 
10/4/2018,48.13,28662300,$48.84 ,$48.86 ,$47.62 
10/5/2018,47.03,28893760,$48.23 ,$48.34 ,$46.66 
10/8/2018,47.03,18524970,$46.96 ,$47.35 ,$46.52 
10/9/2018,46.55,23272260,$47.18 ,$47.62 ,$46.54 
10/10/2018,44.8,41642550,$46.06 ,$46.12 ,$44.80 
10/11/2018,44.23,43483080,$45.15 ,$45.61 ,$43.73 
10/12/2018,44.88,31749480,$45.27 ,$45.34 ,$44.23 
10/15/2018,44.53,21407880,$44.63 ,$45.14 ,$44.44 
10/16/2018,45.94,21268670,$44.90 ,$46.01 ,$44.83 
10/17/2018,45.89,23111280,$46.00 ,$46.33 ,$45.54 
10/18/2018,44.97,26311200,$45.65 ,$45.75 ,$44.83 
10/19/2018,44,28270420,$45.02 ,$45.18 ,$43.86 
10/22/2018,45.01,34236640,$44.50 ,$45.34 ,$44.10 
10/23/2018,44.5,38244220,$44.18 ,$45.09 ,$43.91 
10/24/2018,42.42,33189380,$44.16 ,$44.36 ,$42.36 
10/25/2018,44.31,47052220,$43.54 ,$44.94 ,$43.28 
10/26/2018,45.69,67247680,$45.59 ,$46.44 ,$44.70 
10/29/2018,45.4,35444440,$46.50 ,$46.75 ,$44.44 
10/30/2018,47.76,43941200,$45.53 ,$47.88 ,$45.46 
10/31/2018,46.88,33343570,$48.29 ,$48.56 ,$46.83 
11/1/2018,48.22,28215450,$46.95 ,$48.47 ,$46.86 
11/2/2018,47.11,30630070,$48.13 ,$48.25 ,$46.75 
11/5/2018,47.97,23742310,$47.34 ,$48.25 ,$46.92 
11/6/2018,47.25,23802430,$47.80 ,$47.92 ,$47.03 
11/7/2018,48.72,29900000,$47.63 ,$48.75 ,$47.59 
11/8/2018,48.99,26579920,$48.49 ,$49.29 ,$48.46 
11/9/2018,48.11,21752760,$48.79 ,$49.03 ,$47.87 
11/12/2018,46.65,24055970,$47.71 ,$47.80 ,$46.60 
11/13/2018,47.39,29284040,$46.99 ,$48.25 ,$46.99 
11/14/2018,47.09,25375230,$47.85 ,$47.97 ,$46.89 
11/15/2018,48.11,28937860,$47.01 ,$48.24 ,$46.72 
11/16/2018,48.83,31417980,$47.77 ,$49.05 ,$47.69 
11/19/2018,48,26435640,$48.61 ,$49.15 ,$47.78 
11/20/2018,47.39,29192730,$47.40 ,$48.12 ,$47.09 
11/21/2018,47.03,18811570,$47.85 ,$47.88 ,$47.02 
11/23/2018,46.54,8906879,$46.69 ,$47.07 ,$46.52 
11/26/2018,47.45,19976140,$47.27 ,$47.46 ,$46.70 
11/27/2018,48.07,27598840,$46.94 ,$48.22 ,$46.59 
11/28/2018,48.86,27660080,$47.94 ,$48.88 ,$47.65 
11/29/2018,47.7,23230250,$48.49 ,$48.56 ,$47.63 
11/30/2018,49.31,43281210,$47.95 ,$49.32 ,$47.56 
12/3/2018,50.13,29972310,$50.00 ,$50.50 ,$49.53 
12/4/2018,47.75,33374960,$49.52 ,$49.60 ,$47.68 
12/6/2018,48.37,31225600,$46.80 ,$48.39 ,$46.52 
12/7/2018,46.24,33055310,$47.94 ,$48.06 ,$46.23 
12/10/2018,47.21,22818690,$46.28 ,$47.46 ,$46.01 
12/11/2018,47.38,20956500,$47.90 ,$48.59 ,$47.13 
12/12/2018,47.83,31251120,$48.58 ,$48.64 ,$47.41 
12/13/2018,48.29,19303560,$48.26 ,$48.58 ,$47.86 
12/14/2018,47.86,26366290,$47.89 ,$48.76 ,$47.85 
12/17/2018,47.08,26382210,$47.86 ,$48.41 ,$46.66 
12/18/2018,47.74,28021790,$47.47 ,$48.45 ,$47.36 
12/19/2018,45.57,39301200,$47.49 ,$47.73 ,$45.38 
12/20/2018,45.54,37665490,$45.41 ,$46.31 ,$45.01 
12/21/2018,44.84,52528650,$45.75 ,$46.65 ,$44.80 
12/24/2018,43.59,19241560,$44.63 ,$45.17 ,$43.54 
12/26/2018,46.19,28570180,$44.00 ,$46.20 ,$43.51 
12/27/2018,46.36,28821130,$45.62 ,$46.38 ,$44.67 
12/28/2018,46.75,24701860,$46.51 ,$47.74 ,$46.30 
12/31/2018,46.93,20484740,$47.09 ,$47.48 ,$46.55 
1/2/2019,47.08,18733890,$45.96 ,$47.47 ,$45.77 
1/3/2019,44.49,31967690,$46.15 ,$46.28 ,$44.39 
1/4/2019,47.22,35321630,$45.84 ,$47.57 ,$45.54 
1/7/2019,47.44,22491020,$47.10 ,$48.00 ,$46.75 
1/8/2019,47.74,22551790,$47.80 ,$48.03 ,$46.78 
1/9/2019,48.01,22528800,$47.96 ,$48.57 ,$47.78 
1/10/2019,48.56,27126590,$47.75 ,$48.65 ,$47.41 
1/11/2019,48.93,21599330,$48.10 ,$49.29 ,$48.05 
1/14/2019,48.35,19035810,$48.46 ,$48.83 ,$48.30 
